        Serial No,Test Case Title,Test Case Description,Expected Result,Actual Result,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,To Verify UI of OTP Screen.,"Pre- Requisite: Enter Mobile number and navigate to OTP Page.
OTP bottomsheet should be displayed.
""OTP Verification"" title needs to be displayed.
Verify design according to figma.",Design should be according to figma.,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
15,To verify last block OTP does not allow multiple digits.,"Pre- Requisite: Enter Mobile number and navigate to OTP Page.
1. Enter multiple digits on last OTP block.",Multiple digits should not be allowed on last OTP block.,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
16,"To verify alphabets/ special character should not be 
allowed on OTP blocks.","Pre- Requisite: Enter Mobile number and navigate to OTP Page.
1. In OTP blocks, enter alphabets or special characters.",Alphabets or special characters should not be allowed.,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
17,To Verify Paste functionality should work for OTP Page,"Pre- Requisite: Enter Mobile number and navigate to OTP Page.
1. In OTP block try pasting the OTP from SMS/ WhatsApp",User should be allowed to paste OTP on OTP blocks.,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
18,Verify expired OTP should not be accepted.,"Pre- Requisite: Enter Mobile number and navigate to OTP Page.
1. Let OTP be expired.
2. Now try to enter expired OTP.",Expired OTP should not be accepted and proper error message needs to be displayed.,,,,,,,,,,,,,,,,,,,,,,
